weapon_type,firearm_caliber,weapon_description,trr_report_id
Hands/Fists,,,97867
"Mouth (Spit,Bite,Etc)",,,97867
Feet,,,97868
Hands/Fists,,,97868
"Mouth (Spit,Bite,Etc)",,,97868
Feet,,,97869
"Mouth (Spit,Bite,Etc)",,,97869
Hands/Fists,,,97873
Verbal Threat (Assault),,,97873
Feet,,,97876
Firearm - Revolver,22 SHORT,,97876
Hands/Fists,,,97876
Feet,,,97877
Firearm - Revolver,22 SHORT,,97877
Hands/Fists,,,97877
Feet,,,97878
Firearm - Revolver,22 SHORT,,97878
Hands/Fists,,,97878
Other (Specify),,OFFENDER ARMED WITH GUN,97878
Firearm - Revolver,357 MAG,COLT,97882
Other (Specify),,HEADBUTT,97885
Verbal Threat (Assault),,,97885
Other (Specify),,ATTEMPTED HEADBUTT,97886
Firearm - Semi-Automatic,380 ACP,,97887
Other (Specify),,USED HIS CHEST TO PUSH INTO PO,97903
"Mouth (Spit,Bite,Etc)",,,97904
Other (Specify),,BIT THE OFFICER,97904
Hands/Fists,,,97905
Other (Specify),,ELBOWED THE OFFICER,97905
Hands/Fists,,,97906
Feet,,,97908
Hands/Fists,,,97908
"Mouth (Spit,Bite,Etc)",,,97909
"Mouth (Spit,Bite,Etc)",,,97910
Feet,,,97911
Verbal Threat (Assault),,,97915
Hands/Fists,,,97916
Hands/Fists,,,97917
Verbal Threat (Assault),,,97917
Firearm - Semi-Automatic,40 S&W,,97921
Firearm - Semi-Automatic,40 S&W,,97923
Firearm - Revolver, 38 CAL,,97924
Hands/Fists,,,97926
Verbal Threat (Assault),,,97926
Hands/Fists,,,97927
Verbal Threat (Assault),,,97927
Firearm - Semi-Automatic, 9 MM,,97933
Verbal Threat (Assault),,,97935
Verbal Threat (Assault),,,97936
Verbal Threat (Assault),,,97937
Hands/Fists,,,97942
Hands/Fists,,,97943
"Mouth (Spit,Bite,Etc)",,,97945
Feet,,,97951
Hands/Fists,,,97951
Other (Specify),,PULLED R/OS ARM,97951
Other (Specify),,PUSHED INTO P.O.'S BODY,97954
Firearm - Semi-Automatic,380 ACP,RUGER .380 HELLCAT,97955
Other (Specify),,ELBOW,97958
Feet,,,97962
Verbal Threat (Assault),,,97966
Hands/Fists,,,97967
Firearm - Revolver,357 MAG,,97978
Other (Specify),,BEER CAN,97979
Feet,,,97986
Hands/Fists,,,97986
Verbal Threat (Assault),,,97986
Feet,,,97987
Verbal Threat (Assault),,,97987
Feet,,,97989
Verbal Threat (Assault),,,97989
Feet,,,97990
Hands/Fists,,,97990
Feet,,,97992
Verbal Threat (Assault),,,97992
Feet,,,97995
Hands/Fists,,,97995
Feet,,,97996
Hands/Fists,,,97996
Hands/Fists,,,98001
Hands/Fists,,,98006
Hands/Fists,,,98008
Hands/Fists,,,98013
Verbal Threat (Assault),,,98013
Other (Specify),,OFFENDER CLENCHED FISTS AND TOOK A BLADED STANCE.,98014
Firearm - Revolver,32 CAL,,98015
Firearm - Revolver,32 CAL,,98016
Firearm - Revolver,OTHER,,98018
Hands/Fists,,,98019
Firearm - Revolver,32 CAL,,98020
Blunt Instrument,,,98023
Hands/Fists,,,98023
Hands/Fists,,,98026
Other (Specify),,GOT IN BOXERS STANCE,98026
Firearm - Semi-Automatic,45 CAL,,98027
Firearm - Semi-Automatic, 9 MM,,98029
Other (Specify),,HEAD,98033
Hands/Fists,,,98036
"Mouth (Spit,Bite,Etc)",,,98036
Feet,,,98043
Hands/Fists,,,98043
Knife/Other Cutting Instrument,,,98043
Verbal Threat (Assault),,,98043
Knife/Other Cutting Instrument,,,98045
Hands/Fists,,,98047
Hands/Fists,,,98051
Other (Specify),,CLINCHED FIST,98051
Firearm - Revolver,357 MAG,,98052
Hands/Fists,,,98069
Other (Specify),,ELBOWS,98070
Hands/Fists,,,98075
Verbal Threat (Assault),,,98075
Firearm - Semi-Automatic,40 S&W,,98080
Other (Specify),,THREATENING STANCE,98081
Verbal Threat (Assault),,,98082
Verbal Threat (Assault),,,98083
Hands/Fists,,,98085
Hands/Fists,,,98086
Verbal Threat (Assault),,,98089
Firearm - Semi-Automatic,45 CAL,"FNH, MODEL FNP-45",98090
Firearm - Semi-Automatic,45 CAL,"FNH, MODEL FNP-45",98091
Firearm - Semi-Automatic,45 CAL,"FNH, MODEL FNP-45",98092
Verbal Threat (Assault),,,98095
Hands/Fists,,,98098
Firearm - Semi-Automatic, 45 ACP,,98102
Verbal Threat (Assault),,,98104
Hands/Fists,,,98105
Hands/Fists,,,98106
Other (Specify),,HANDS AND FEET,98106
Hands/Fists,,,98107
Other (Specify),,GRABED AND PULLED THE OFFICERS BELT,98107
Other (Specify),OTHER,BB GUN,98109
Verbal Threat (Assault),,,98110
Other (Specify),OTHER,WHAT APPEARED TO BE A FIREARM,98111
Firearm - Semi-Automatic,22 LR,,98114
Firearm - Semi-Automatic,22 LR,,98121
Other (Specify),,STRIKING WITH ELBOW ,98128
Hands/Fists,,,98133
Other (Specify),,ELBOW,98133
Feet,,,98134
Hands/Fists,,,98137
Hands/Fists,,,98143
Feet,,,98145
"Mouth (Spit,Bite,Etc)",,,98145
Other (Specify),,CIGARETTE,98145
Other (Specify),,"CIGARETTE, PILL BOTTLE",98145
Other (Specify),,PILL BOTTLE,98145
Verbal Threat (Assault),,,98145
Feet,,,98147
Hands/Fists,,,98147
Verbal Threat (Assault),,,98147
Verbal Threat (Assault),,,98148
Verbal Threat (Assault),,,98150
Other (Specify),,REPLICA FIREARM,98151
Firearm - Semi-Automatic,380 ACP,,98152
Firearm - Semi-Automatic,380 ACP,,98153
Hands/Fists,,,98153
Other (Specify),,WAS RESISTING/BATTERING PARTNERS,98153
Hands/Fists,,,98154
Firearm - Semi-Automatic,40 S&W,,98156
Firearm - Semi-Automatic,22 LR,BERETTA U22 NEOS,98162
Other (Specify),,DOOR,98167
Other (Specify),,PUSHED P.O. INTO DOOR,98167
Verbal Threat (Assault),,,98167
Verbal Threat (Assault),,,98168
Feet,,,98171
Hands/Fists,,,98171
Hands/Fists,,,98172
Hands/Fists,,,98179
Feet,,,98185
Hands/Fists,,,98188
Verbal Threat (Assault),,,98189
Firearm - Semi-Automatic,7.62,,98191
"Mouth (Spit,Bite,Etc)",,,98192
Firearm - Semi-Automatic,7.62,,98193
Feet,,,98194
Hands/Fists,,,98194
Feet,,,98195
Hands/Fists,,,98195
"Mouth (Spit,Bite,Etc)",,,98195
Verbal Threat (Assault),,,98195
Feet,,,98196
Hands/Fists,,,98196
"Mouth (Spit,Bite,Etc)",,,98196
Verbal Threat (Assault),,,98196
Feet,,,98197
Hands/Fists,,,98197
"Mouth (Spit,Bite,Etc)",,,98197
Verbal Threat (Assault),,,98197
"Mouth (Spit,Bite,Etc)",,,98202
Feet,,,98204
"Mouth (Spit,Bite,Etc)",,,98204
Feet,,,98206
"Mouth (Spit,Bite,Etc)",,,98206
Firearm - Semi-Automatic, 9 MM,,98208
Other (Specify),,PUSHED P.O. FROM BEHIND,98209
Verbal Threat (Assault),,,98210
Firearm - Semi-Automatic, 9 MM,,98217
Hands/Fists,,,98218
Firearm - Revolver,32 CAL,"S&W GERSTENBERGER & EBERWIEN, SERIAL #5358, .32 CALIBER, BLA",98220
Firearm - Revolver,32 CAL,"S&W GERSTENBERGER & EBERWIEN, SERIAL #5358, .32 CALIBER, BLA",98221
Feet,,,98228
"Mouth (Spit,Bite,Etc)",,,98228
Hands/Fists,,,98229
"Mouth (Spit,Bite,Etc)",,,98229
Hands/Fists,,,98230
"Mouth (Spit,Bite,Etc)",,,98230
Verbal Threat (Assault),,,98231
Firearm - Semi-Automatic,25 ACP,BERETTA 950 MOD 25. CAL,98234
Verbal Threat (Assault),,,98240
Verbal Threat (Assault),,,98241
Firearm - Semi-Automatic,40 S&W,,98243
Hands/Fists,,,98257
Other (Specify),,"FIGHTING STANCE, CLENCHED FISTS",98257
Hands/Fists,,,98258
Other (Specify),,GRABBED R/O ARM,98258
"Mouth (Spit,Bite,Etc)",,,98263
Other (Specify),,SUBJECT SPAT IN OFFICERS FACE,98263
Other (Specify),,ELBOWS TO BODY,98266
Vehicle - Officer Struck With Vehicle,,,98266
Vehicle - Officer Struck With Vehicle,,,98268
Blunt Instrument,,SHOWER ROD,98269
Hands/Fists,,,98276
Firearm - Revolver,22 LR,,98277
Firearm - Semi-Automatic, 9 MM,,98278
Firearm - Semi-Automatic, 9 MM,,98279
Firearm - Semi-Automatic, 9 MM,,98280
Feet,,,98291
Firearm - Semi-Automatic,45 CAL,,98291
Hands/Fists,,,98292
Feet,,,98293
Hands/Fists,,,98293
Verbal Threat (Assault),,,98293
Hands/Fists,,,98301
Verbal Threat (Assault),,,98301
Other (Specify),,STRUCK WITH WHEELCHAIR,98302
Knife/Other Cutting Instrument,,,98304
Firearm - Semi-Automatic,22 SHORT,,98310
Other (Specify),,ATT ARMED ROBBERY,98310
Verbal Threat (Assault),,,98317
Blunt Instrument,,,98319
Blunt Instrument,,,98320
Other (Specify),,BLUNT OBJECT POSSESSION,98320
Verbal Threat (Assault),,,98320
Hands/Fists,,,98325
Feet,,,98328
Other (Specify),,KNEE,98328
Feet,,,98329
Other (Specify),,KNEE,98330
Hands/Fists,,,98338
Verbal Threat (Assault),,,98338
Other (Specify),,FLAILED ARMS,98342
Hands/Fists,,,98343
Verbal Threat (Assault),,,98345
Verbal Threat (Assault),,,98346
Hands/Fists,,,98347
Other (Specify),,ATTEMPT TO TACKLE P.O,98347
Other (Specify),,FLAILED ARMS,98348
Feet,,,98351
Verbal Threat (Assault),,,98355
Hands/Fists,,,98358
Other (Specify),,ELBOWS,98358
Hands/Fists,,,98359
Other (Specify),,"ELBOWS, FISTS",98359
Hands/Fists,,,98360
Verbal Threat (Assault),,,98360
Other (Specify),,HYPODERMIC NEEDLE,98366
Verbal Threat (Assault),,,98367
Verbal Threat (Assault),,,98368
Other (Specify),,USED HIS BODY TO PUSH R/O,98369
Hands/Fists,,,98370
Other (Specify),,VEHICLE,98373
Vehicle - Attempted To Strike Officer With Vehicle,,,98373
Other (Specify),,VEHICLE,98374
Vehicle - Attempted To Strike Officer With Vehicle,,,98374
Vehicle - Officer Struck With Vehicle,,,98376
Hands/Fists,,,98378
Verbal Threat (Assault),,,98378
Other (Specify),,SCREWDRIVER,98383
Hands/Fists,,,98384
Verbal Threat (Assault),,,98390
Hands/Fists,,,98391
Other (Specify),,GRAABED RIGHT ARM,98391
"Mouth (Spit,Bite,Etc)",,,98392
Verbal Threat (Assault),,,98392
Hands/Fists,,,98393
Hands/Fists,,,98401
Verbal Threat (Assault),,,98401
Other (Specify),,KICK,98402
Feet,,,98403
Hands/Fists,,,98403
Hands/Fists,,,98406
Hands/Fists,,,98411
Hands/Fists,,,98412
"Mouth (Spit,Bite,Etc)",,,98413
Hands/Fists,,,98414
Knife/Other Cutting Instrument,,,98415
Other (Specify),,ARMED WITH KNIFE,98415
"Mouth (Spit,Bite,Etc)",,,98416
Hands/Fists,,,98430
Verbal Threat (Assault),,,98430
"Mouth (Spit,Bite,Etc)",,,98431
Knife/Other Cutting Instrument,,,98435
Firearm - Semi-Automatic,45 CAL,"LLAMA MINIMAX II PISTOL - 3.7"" BARREL NICKEL FINISH",98439
Firearm - Semi-Automatic,45 CAL,,98442
Feet,,,98448
"Mouth (Spit,Bite,Etc)",,,98448
Feet,,,98451
"Mouth (Spit,Bite,Etc)",,,98451
Firearm - Semi-Automatic,40 S&W,,98452
Verbal Threat (Assault),,,98453
Hands/Fists,,,98456
Feet,,,98464
Hands/Fists,,,98464
Hands/Fists,,,98466
Other (Specify),,STRUCK OFFICER WITH A LIGHTED CIGARETTE,98467
Verbal Threat (Assault),,,98467
Firearm - Rifle,22 LR,,98483
Hands/Fists,,,98494
Verbal Threat (Assault),,,98494
Firearm - Semi-Automatic,40 S&W,GLOCK 22,98495
Hands/Fists,,,98499
Hands/Fists,,,98506
Other (Specify),,ATTEMPT TO DISARM P.O.,98506
Hands/Fists,,,98508
Feet,,,98515
Other (Specify),,CLOSED SLIDING VEHICLE DOOR ON R/OS ARM,98515
Verbal Threat (Assault),,,98517
Other (Specify),,METAL PAN,98518
Other (Specify),,RAISED METAL PAN,98518
Firearm - Semi-Automatic, 9 MM,,98523
Firearm - Semi-Automatic, 9 MM,BLUE STEEL,98524
Blunt Instrument,,BASEBALL BAT,98525
Hands/Fists,,,98528
Other (Specify),,"BALLED UP FISTS, SQUARED UP",98528
Verbal Threat (Assault),,,98528
Hands/Fists,,,98529
"Mouth (Spit,Bite,Etc)",,,98529
Verbal Threat (Assault),,,98529
"Mouth (Spit,Bite,Etc)",,,98530
Vehicle - Attempted To Strike Officer With Vehicle,,,98532
Vehicle - Attempted To Strike Officer With Vehicle,,,98533
Feet,,,98539
Hands/Fists,,,98539
Feet,,,98540
Hands/Fists,,,98540
"Mouth (Spit,Bite,Etc)",,,98543
Knife/Other Cutting Instrument,,,98547
Hands/Fists,,,98548
Knife/Other Cutting Instrument,,,98549
Firearm - Revolver, 38 CAL,,98553
Feet,,,98556
Hands/Fists,,,98557
Hands/Fists,,,98559
Firearm - Semi-Automatic, 45 ACP,,98562
Hands/Fists,,,98564
Other (Specify),,TRYING TO DEFEAT THE ARREST,98564
Hands/Fists,,,98567
Hands/Fists,,,98568
Hands/Fists,,,98573
Verbal Threat (Assault),,,98573
Hands/Fists,,,98574
Verbal Threat (Assault),,,98576
Knife/Other Cutting Instrument,,KITCHEN KNIFE,98578
Knife/Other Cutting Instrument,,TWO KITCHEN KNIVES,98579
Hands/Fists,,,98587
"Mouth (Spit,Bite,Etc)",,,98591
Other (Specify),,THREAT OF HEAD BUTT,98591
Verbal Threat (Assault),,,98591
"Mouth (Spit,Bite,Etc)",,,98592
Other (Specify),,THREAT OF HEAD BUTT,98592
Other (Specify),,ARMED WITH UNK. GUN,98593
Other (Specify),,TOY GUN ,98593
Verbal Threat (Assault),,,98593
Other (Specify),,ARMED WITH UNKNOWN WEAPON,98595
Other (Specify),,TOY GUN,98595
"Mouth (Spit,Bite,Etc)",,,98601
Blunt Instrument,,,98602
Other (Specify),,HOLDING TWO BRICKS,98602
Blunt Instrument,,,98603
Other (Specify),,HOLDING TWO BRICKS,98603
Feet,,,98604
"Mouth (Spit,Bite,Etc)",,,98604
Verbal Threat (Assault),,,98604
Feet,,,98606
Hands/Fists,,,98606
"Mouth (Spit,Bite,Etc)",,,98606
Verbal Threat (Assault),,,98606
Feet,,,98607
Hands/Fists,,,98607
"Mouth (Spit,Bite,Etc)",,,98607
Verbal Threat (Assault),,,98607
Firearm - Semi-Automatic, 9 MM,,98608
Vehicle - Attempted To Strike Officer With Vehicle,,,98613
Knife/Other Cutting Instrument,,,98626
Knife/Other Cutting Instrument,,,98637
Hands/Fists,,,98652
Verbal Threat (Assault),,,98655
"Mouth (Spit,Bite,Etc)",,,98656
Firearm - Semi-Automatic, 9 MM,,98661
Firearm - Semi-Automatic, 9 MM,,98663
Other (Specify),,IMMEIDATE THREAT OF RECEIVING BATTERY WITH FIREARM,98663
Knife/Other Cutting Instrument,,,98664
Firearm - Semi-Automatic, 9 MM,,98665
Firearm - Semi-Automatic, 9 MM,,98667
Other (Specify),,IMMEDIATE THREAT OF RECEIVING BATTERY WITH FIREARM,98667
Firearm - Semi-Automatic,UNKNOWN,BERRETA,98671
Other (Specify),,HANDGUN,98674
Firearm - Semi-Automatic,UNKNOWN,,98675
Other (Specify),,FLAILING AND THROWING HIS SHOULDER INTO R/O,98679
Other (Specify),,FLALING AND THROWING HIS SHOULDER INTO R/O,98680
Other (Specify),,SCRATCHED/PINCHED,98685
Feet,,,98686
Hands/Fists,,,98686
Feet,,,98689
Hands/Fists,,,98689
"Mouth (Spit,Bite,Etc)",,,98696
Verbal Threat (Assault),,,98696
Firearm - Semi-Automatic, 9 MM,MACH 11,98698
Verbal Threat (Assault),,,98701
Verbal Threat (Assault),,,98707
Verbal Threat (Assault),,,98709
Hands/Fists,,,98711
Hands/Fists,,,98712
Firearm - Revolver,44 CAL,,98720
Feet,,,98721
Hands/Fists,,,98721
Other (Specify),,FIGHTING,98721
Other (Specify),,CONTINUED FIGHTING,98722
Feet,,,98724
Hands/Fists,,,98724
Other (Specify),,BODY SLAM ,98724
Verbal Threat (Assault),,,98724
Hands/Fists,,,98725
Hands/Fists,,,98726
Verbal Threat (Assault),,,98726
Feet,,,98727
Hands/Fists,,,98727
Verbal Threat (Assault),,,98727
Hands/Fists,,,98728
"Mouth (Spit,Bite,Etc)",,,98742
Verbal Threat (Assault),,,98747
Verbal Threat (Assault),,,98748
Hands/Fists,,,98755
"Mouth (Spit,Bite,Etc)",,,98755
Other (Specify),,CHEST,98755
Hands/Fists,,,98756
Verbal Threat (Assault),,,98756
Firearm - Revolver,357 MAG,,98763
Firearm - Revolver,357 MAG,,98764
Verbal Threat (Assault),,,98765
Firearm - Semi-Automatic, 9 MM,,98768
"Mouth (Spit,Bite,Etc)",,,98776
Hands/Fists,,,98777
Verbal Threat (Assault),,,98777
Other (Specify),,FOLDING CHAIR,98778
Hands/Fists,,,98779
Other (Specify),,FOLDING CHAIR,98780
Hands/Fists,,,98785
Hands/Fists,,,98786
"Mouth (Spit,Bite,Etc)",,,98786
Hands/Fists,,,98791
Hands/Fists,,,98794
Other (Specify),,BODY,98794
Verbal Threat (Assault),,,98795
Feet,,,98799
Hands/Fists,,,98799
"Mouth (Spit,Bite,Etc)",,,98799
Verbal Threat (Assault),,,98799
Hands/Fists,,,98802
Hands/Fists,,,98803
Hands/Fists,,,98809
Verbal Threat (Assault),,,98809
Knife/Other Cutting Instrument,,SCISSORS,98814
Verbal Threat (Assault),,,98815
Firearm - Semi-Automatic, 9 MM,STAR INTERARM 30 MOD 9MM,98816
Feet,,,98817
Hands/Fists,,,98817
Verbal Threat (Assault),,,98817
Feet,,,98818
Hands/Fists,,,98818
Verbal Threat (Assault),,,98818
"Mouth (Spit,Bite,Etc)",,,98824
Feet,,,98827
Other (Specify),,BRICK AND CHUNK OF ASPHALT,98829
Other (Specify),,TOY GUN,98836
Firearm - Semi-Automatic,380 ACP,,98837
Other (Specify),,SUBJECT ATTEMPTED TO RETRIEVE FIREARM,98837
Firearm - Semi-Automatic,380 ACP,,98838
Other (Specify),,ATTEMPTING TO DEFEAT ARREST WHILE ATTEMPTING TO OBTAIN GUN,98838
Knife/Other Cutting Instrument,,,98839
Firearm - Semi-Automatic, 9 MM,,98841
Vehicle - Attempted To Strike Officer With Vehicle,,,98847
Knife/Other Cutting Instrument,,RETRACTABLE BOX CUTTER,98848
Blunt Instrument,,WOODEN BOARD,98849
"Mouth (Spit,Bite,Etc)",,,98855
Verbal Threat (Assault),,,98855
Feet,,,98856
"Mouth (Spit,Bite,Etc)",,,98856
Verbal Threat (Assault),,,98856
Feet,,,98858
Hands/Fists,,,98858
Other (Specify),,HANDS / FEET,98858
Feet,,,98859
Hands/Fists,,,98859
Firearm - Revolver, 38 CAL,,98860
Firearm - Revolver, 38 CAL,,98861
Other (Specify),,DARTH VADER FLASHLIGHT,98862
Firearm - Revolver, 38 CAL,,98864
Feet,,,98865
Hands/Fists,,,98865
Feet,,,98866
Hands/Fists,,,98866
Hands/Fists,,,98867
Hands/Fists,,,98873
"Mouth (Spit,Bite,Etc)",,,98873
Other (Specify),,SHOULDERS,98873
Verbal Threat (Assault),,,98873
"Mouth (Spit,Bite,Etc)",,,98874
Hands/Fists,,,98875
"Mouth (Spit,Bite,Etc)",,,98875
Other (Specify),,SHOULDERS,98875
Verbal Threat (Assault),,,98875
"Mouth (Spit,Bite,Etc)",,,98876
"Mouth (Spit,Bite,Etc)",,,98878
Other (Specify),,RUSHED / CHARGED OFFICER,98880
Verbal Threat (Assault),,,98887
Hands/Fists,,,98888
Other (Specify),,CLENCHED FIST,98888
Verbal Threat (Assault),,,98888
Firearm - Semi-Automatic,380 ACP,,98890
Hands/Fists,,,98890
"Mouth (Spit,Bite,Etc)",,,98890
Other (Specify),,SHOULDER USED BUMPED INTO OFFICERS,98890
Verbal Threat (Assault),,,98890
Firearm - Semi-Automatic,380 ACP,,98891
Hands/Fists,,,98891
"Mouth (Spit,Bite,Etc)",,,98891
Other (Specify),,SHOULDER USED TO BUMP INTO OFFICERS,98891
Verbal Threat (Assault),,,98891
Firearm - Semi-Automatic,380 ACP,,98895
"Mouth (Spit,Bite,Etc)",,,98895
Verbal Threat (Assault),,,98895
Firearm - Semi-Automatic,380 ACP,,98896
"Mouth (Spit,Bite,Etc)",,,98896
Verbal Threat (Assault),,,98896
Firearm - Semi-Automatic,380 ACP,,98897
"Mouth (Spit,Bite,Etc)",,,98897
Verbal Threat (Assault),,,98897
Firearm - Semi-Automatic,380 ACP,,98899
"Mouth (Spit,Bite,Etc)",,,98899
Verbal Threat (Assault),,,98899
Other (Specify),,PUSHED OFFICER OFF USING HIS SHOULDER,98912
Firearm - Semi-Automatic, 9 MM,,98919
Verbal Threat (Assault),,,98921
Verbal Threat (Assault),,,98922
Firearm - Semi-Automatic, 9 MM,"TAURUS MODEL PT24/7 PRO DS, 9MM CAL, SERIAL#TBV58984",98924
Firearm - Semi-Automatic, 9 MM,TAURUS-9MM-SEMI AUTO SER#TBV58984,98927
Hands/Fists,,,98928
"Mouth (Spit,Bite,Etc)",,,98939
Other (Specify),,CIGARETTE,98943
Hands/Fists,,,98945
Hands/Fists,,,98946
Other (Specify),,ATTEMPTED TO STRIKE WITH HAND,98947
Hands/Fists,,,98950
Verbal Threat (Assault),,,98951
Verbal Threat (Assault),,,98952
Hands/Fists,,,98955
"Mouth (Spit,Bite,Etc)",,,98964
Firearm - Revolver,44 CAL,,98968
Firearm - Semi-Automatic, 9 MM,,98969
Firearm - Semi-Automatic, 9 MM,,98970
Feet,,,98978
Hands/Fists,,,98978
Feet,,,98979
Hands/Fists,,,98979
Other (Specify),,ELBOWED ME IN THE CHEST,98979
Feet,,,98988
Hands/Fists,,,98988
Feet,,,98989
Hands/Fists,,,98989
Verbal Threat (Assault),,,98990
Hands/Fists,,,98991
Verbal Threat (Assault),,,98992
Other (Specify),,ELBOW STRIKE,98993
Feet,,,98994
"Mouth (Spit,Bite,Etc)",,,98994
Verbal Threat (Assault),,,98995
Firearm - Semi-Automatic, 9 MM,SMITH AND WESSON XDS,98998
Hands/Fists,,,98998
Firearm - Semi-Automatic, 9 MM,SPRINGFIELD XDS 9MM,98999
Hands/Fists,,,99000
Verbal Threat (Assault),,,99000
Hands/Fists,,,99001
Verbal Threat (Assault),,,99001
Other (Specify),,DID NOT COMPLY WITH VERBAL COMMANDS,99002
Hands/Fists,,,99004
Feet,,,99005
Hands/Fists,,,99005
Hands/Fists,,,99007
Hands/Fists,,,99008
Verbal Threat (Assault),,,99025
Hands/Fists,,,99028
Hands/Fists,,,99030
Feet,,,99031
Verbal Threat (Assault),,,99031
Other (Specify),,LIGHT CIGARETTE,99036
Hands/Fists,,,99043
Other (Specify),,PULLING ARM AWAY WHILE A/O WAS ATTEMPTING TO HANDCUFF,99045
Verbal Threat (Assault),,,99046
Other (Specify),,R/O INJURED WHEN OFFENDER RESISTED ARREST,99047
Other (Specify),,LEFT SHOULDER,99049
Verbal Threat (Assault),,,99049
Other (Specify),,LEFT SHOULDER,99052
Firearm - Revolver, 38 CAL,,99058
Feet,,,99059
Firearm - Revolver, 38 CAL,,99059
Hands/Fists,,,99059
Feet,,,99060
Firearm - Revolver, 38 CAL,,99060
Hands/Fists,,,99060
"Mouth (Spit,Bite,Etc)",,,99066
Knife/Other Cutting Instrument,,,99067
Other (Specify),,WAIVING KNIFE WILDLY IN R/SGT DRECTION,99067
Hands/Fists,,,99069
Firearm - Semi-Automatic,UNKNOWN,,99075
Verbal Threat (Assault),,,99076
Verbal Threat (Assault),,,99077
Hands/Fists,,,99081
Other (Specify),,CLENCHED FISTS,99081
Verbal Threat (Assault),,,99081
"Mouth (Spit,Bite,Etc)",,,99084
Verbal Threat (Assault),,,99084
Hands/Fists,,,99085
Verbal Threat (Assault),,,99085
Hands/Fists,,,99086
"Mouth (Spit,Bite,Etc)",,,99086
Other (Specify),,SWUNG A BELT,99086
Verbal Threat (Assault),,,99086
Hands/Fists,,,99091
Hands/Fists,,,99092
Hands/Fists,,,99096
Hands/Fists,,,99099
Verbal Threat (Assault),,,99100
Feet,,,99101
Hands/Fists,,,99101
Other (Specify),,2 FOOT LONG PLASTIC SHOE HORN,99105
Firearm - Semi-Automatic, 9 MM,,99107
Knife/Other Cutting Instrument,,,99108
Knife/Other Cutting Instrument,,,99109
Knife/Other Cutting Instrument,,,99110
Firearm - Semi-Automatic, 9 MM,,99111
Other (Specify),,FOREARM,99116
"Mouth (Spit,Bite,Etc)",,,99122
Firearm - Revolver,357 MAG,,99128
Firearm - Semi-Automatic,380 ACP,,99128
Firearm - Revolver,357 MAG,,99130
Firearm - Semi-Automatic,380 ACP,,99130
Feet,,,99135
"Mouth (Spit,Bite,Etc)",,,99135
Hands/Fists,,,99143
Other (Specify),,BRASS KNUCKLES,99143
Hands/Fists,,,99144
Other (Specify),,DRAGGING OFFICER,99144
Blunt Instrument,,METALLIC KNUCKLES,99146
Other (Specify),,CLOSING DISTANCE,99147
Verbal Threat (Assault),,,99147
Hands/Fists,,,99152
Firearm - Semi-Automatic,380 ACP,RUGER .380LCP,99154
Firearm - Semi-Automatic,380 ACP,RUGER .380 LCP,99155
Knife/Other Cutting Instrument,,,99157
Other (Specify),,PULLED KNIFE FROM WAISTBAND,99157
Feet,,,99159
"Mouth (Spit,Bite,Etc)",,,99162
Verbal Threat (Assault),,,99162
"Mouth (Spit,Bite,Etc)",,,99163
Verbal Threat (Assault),,,99165
Other (Specify),,AGGRESIVE STANCE TOWARD PO,99166
Other (Specify),,"CLENCHED FIST, AGGRESSIVE STANCE",99167
Other (Specify),,"HANDS,FEET",99169
Verbal Threat (Assault),,,99180
Hands/Fists,,,99181
Other (Specify),,DUG NAILS INTO SKIN,99181
Verbal Threat (Assault),,,99181
Firearm - Semi-Automatic,40 S&W,SIG SAUER MODEL#SP2022,99184
Firearm - Semi-Automatic, 9 MM,SMITH & WESSON,99185
Hands/Fists,,,99188
Other (Specify),,BRASS KNUCKLES,99192
Other (Specify),,BRASS KNUCKLES,99193
Hands/Fists,,,99195
"Mouth (Spit,Bite,Etc)",,,99195
Feet,,,99196
"Mouth (Spit,Bite,Etc)",,,99196
Knife/Other Cutting Instrument,,,99198
Hands/Fists,,,99209
"Mouth (Spit,Bite,Etc)",,,99209
Verbal Threat (Assault),,,99209
Verbal Threat (Assault),,,99210
Verbal Threat (Assault),,,99211
Hands/Fists,,,99212
Other (Specify),,VIOLENT APPROACH,99212
Hands/Fists,,,99216
Other (Specify),,AGGRESSIVE STANCE AND CLENCHED  FISTS,99220
"Mouth (Spit,Bite,Etc)",,,99221
Other (Specify),,AGGRESSIVE STAND/CLENCHED FIST,99223
Hands/Fists,,,99227
Verbal Threat (Assault),,,99227
Feet,,,99230
Hands/Fists,,,99230
Other (Specify),,ELBOWS,99230
Feet,,,99232
Hands/Fists,,,99232
Other (Specify),,ELBOWS,99232
Other (Specify),,R/SGT STRUCK IN FACE,99233
Verbal Threat (Assault),,,99238
Hands/Fists,,,99239
Verbal Threat (Assault),,,99239
Feet,,,99249
"Mouth (Spit,Bite,Etc)",,,99249
